threshold,accuracy,sensitivity,specificity,f1,f2,auc,tn,fp,fn,tp
0.66,0.8535211267605634,0.8443396226415094,0.8671328671328671,0.8731707317073171,0.8556405353728489,0.9287669877292519,248,38,66,358
0.67,0.8549295774647887,0.8443396226415094,0.8706293706293706,0.8742368742368742,0.8560497369679579,0.9287669877292519,249,37,66,358
0.68,0.8535211267605634,0.839622641509434,0.8741258741258742,0.8725490196078431,0.8524904214559387,0.9287669877292519,250,36,68,356
0.69,0.852112676056338,0.8372641509433962,0.8741258741258742,0.8711656441717791,0.8505031145184475,0.9287669877292519,250,36,69,355
0.7,0.852112676056338,0.8349056603773585,0.8776223776223776,0.8708487084870848,0.8489208633093526,0.9287669877292519,251,35,70,354
0.71,0.8464788732394366,0.8254716981132075,0.8776223776223776,0.865265760197775,0.8409418548774628,0.9287669877292519,251,35,74,350
0.72,0.8464788732394366,0.8254716981132075,0.8776223776223776,0.865265760197775,0.8409418548774628,0.9287669877292519,251,35,74,350
0.73,0.8464788732394366,0.8254716981132075,0.8776223776223776,0.865265760197775,0.8409418548774628,0.9287669877292519,251,35,74,350
0.74,0.8464788732394366,0.8231132075471698,0.8811188811188811,0.8649318463444857,0.8393458393458394,0.9287669877292519,252,34,75,349
0.75,0.8464788732394366,0.8207547169811321,0.8846153846153846,0.8645962732919255,0.8377467501203659,0.9287669877292519,253,33,76,348
0.76,0.8436619718309859,0.8113207547169812,0.8916083916083916,0.8610763454317898,0.8305166586190246,0.9287669877292519,255,31,80,344
0.77,0.8450704225352113,0.8113207547169812,0.8951048951048951,0.8621553884711779,0.8309178743961353,0.9287669877292519,256,30,80,344
0.78,0.8436619718309859,0.8089622641509434,0.8951048951048951,0.8607277289836889,0.8289028516191397,0.9287669877292519,256,30,81,343
0.79,0.8436619718309859,0.8042452830188679,0.9020979020979021,0.8600252206809584,0.8256658595641646,0.9287669877292519,258,28,83,341
0.8,0.8450704225352113,0.8042452830188679,0.9055944055944056,0.8611111111111112,0.8260658914728682,0.9287669877292519,259,27,83,341
0.81,0.8436619718309859,0.8018867924528302,0.9055944055944056,0.8596713021491783,0.8240426563257393,0.9287669877292519,259,27,84,340
0.82,0.8422535211267606,0.7995283018867925,0.9055944055944056,0.8582278481012658,0.8220174587778856,0.9287669877292519,259,27,85,339
0.83,0.8436619718309859,0.7995283018867925,0.9090909090909091,0.8593155893536122,0.8224163027656477,0.9287669877292519,260,26,85,339
0.84,0.8394366197183099,0.7924528301886793,0.9090909090909091,0.8549618320610687,0.8163265306122449,0.9287669877292519,260,26,88,336
0.85,0.8380281690140845,0.7877358490566038,0.9125874125874126,0.8531289910600255,0.8126520681265207,0.9287669877292519,261,25,90,334
0.86,0.8323943661971831,0.7783018867924528,0.9125874125874126,0.8472400513478819,0.8044856167723062,0.9287669877292519,261,25,94,330
0.87,0.828169014084507,0.7712264150943396,0.9125874125874126,0.8427835051546392,0.79833984375,0.9287669877292519,261,25,97,327
0.88,0.8267605633802817,0.7688679245283019,0.9125874125874126,0.8412903225806452,0.7962872496336102,0.9287669877292519,261,25,98,326
0.89,0.8183098591549296,0.7547169811320755,0.9125874125874126,0.8322496749024707,0.7839294463498285,0.9287669877292519,261,25,104,320
0.9,0.8126760563380282,0.7452830188679245,0.9125874125874126,0.8261437908496732,0.7756504663721159,0.9287669877292519,261,25,108,316
0.91,0.8112676056338028,0.7429245283018868,0.9125874125874126,0.824607329842932,0.7735756385068763,0.9287669877292519,261,25,109,315
0.92,0.8042253521126761,0.7311320754716981,0.9125874125874126,0.8168642951251647,0.7631708517971443,0.9287669877292519,261,25,114,310
0.93,0.8014084507042254,0.7240566037735849,0.916083916083916,0.8132450331125828,0.7572767636901825,0.9287669877292519,262,24,117,307
0.94,0.8,0.714622641509434,0.9265734265734266,0.8101604278074866,0.75,0.9287669877292519,265,21,121,303
0.95,0.795774647887324,0.7004716981132075,0.9370629370629371,0.803788903924222,0.73843858776728,0.9287669877292519,268,18,127,297
